name,dosage,forme,presentation,price,remboursement,dci,type,prescription_required
SPACINOL,80 mg,Comprimes orodispersibles,B/20,7.175,1.968,PHLOROGLUCINOL,Antispasmodiques,false
SPASCARE,160 mg,Comprimes orodispersibles,B/10,6.29,1.932,PHLOROGLUCINOL,Antispasmodiques,false
SPASCARE,80 mg,Comprimes orodispersibles,B/20,6.24,1.968,PHLOROGLUCINOL,Antispasmodiques,false
SPASMOCALM,80 mg,Comprimes orodispersibles,B/20,8.955,1.968,PHLOROGLUCINOL,Antispasmodiques,false
SPASMOLAX,80 mg,Comprimes orodispersibles,B/10,2.705,0.984,PHLOROGLUCINOL,Antispasmodiques,false
SPASMOMEN,40 mg,Comprimes enrobes,B/30,11.88,3.852,OTYLONIUM BROMURE,Antispasmodiques,false
SPASMOSTOP,160 mg,Comprimes orodispersibles,B/10,6.54,1.932,PHLOROGLUCINOL,Antispasmodiques,false
SPASMOSTOP,80 mg,Comprimes orodispersibles,B/15,5.45,1.476,PHLOROGLUCINOL,Antispasmodiques,false
SPASTOP,40 mg,Comprimes pellicules,B/10,3.21,1.284,OTYLONIUM BROMURE,Antispasmodiques,false
SPASTOP,40 mg,Comprimes pellicules,B/30,9.69,3.852,OTYLONIUM BROMURE,Antispasmodiques,false
SPIOLTO RESPIMAT,"2,5 µg/2,5 µg",Solution pour inhalation,B/1 cart de 60 bouf + inhal respimat,126.355,107.355,TIOTROPIUM+OLODATEROL,Bronchodilatateurs,true
SPIRA 1.5 MUI,"1,5 MU",Comprimes pellicules,B/16,7.14,6.066,SPIRAMYCINE,Antibiotiques,true
SPIRA 3 MUI,3 MU,Comprimes pellicules,B/10,8.28,6.553,SPIRAMYCINE,Antibiotiques,true
SPIRAMIZOLE,"1,5 MUI/250 mg",Comprimes pellicules secables,B/10,5.46,4.539,METRONIDAZOLE+SPIRAMYCINE,Antibiotiques,true
SPIRAMIZOLE,"1,5 MUI/250 mg",Comprimes pellicules secables,B/20,10.68,9.078,METRONIDAZOLE+SPIRAMYCINE,Antibiotiques,true
